code,description,emergency,year
A00-A09,Intestinal infectious diseases,119827.0,2018-19
A15-A19,Tuberculosis,1335.0,2018-19
A20-A49,Certain bacterial diseases,148156.0,2018-19
A50-A64,Infections with predominantly sexual mode of transmission,670.0,2018-19
A65-A79,Other infectious and parasitic disorders,351.0,2018-19
A80-A89,Viral infections of the central nervous system,3639.0,2018-19
A90-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,178.0,2018-19
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,13558.0,2018-19
B15-B19,Viral hepatitis,1632.0,2018-19
B20-B24,Human immunodeficiency virus [HIV] disease,1113.0,2018-19
B25-B34,Other viral diseases,116893.0,2018-19
B35-B49,Mycoses,3312.0,2018-19
B50-B64,Protozoal diseases,1869.0,2018-19
B65-B83,Helminthiases,338.0,2018-19
B85-B99,Other infectious and parasitic diseases,3346.0,2018-19
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,2537.0,2018-19
C15-C26,Malignant neoplasm of digestive organs,29686.0,2018-19
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,15490.0,2018-19
C40-C41,Malignant neoplasm of bone and articular cartilage,626.0,2018-19
C43-C44,Malignant neoplasms of skin,1145.0,2018-19
C45-C49,Malignant neoplasms of mesothelial and soft tissue,2510.0,2018-19
C50,Malignant neoplasm of breast,4308.0,2018-19
C64-C68,Malignant neoplasms of urinary tract,5467.0,2018-19
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",4779.0,2018-19
"C73-C80, C97",Malignant neoplsm. of thyroid and oth. endo. Glands etc,29785.0,2018-19
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",19669.0,2018-19
D00-D48,In situ & benign neoplasms and others of uncertainty,15449.0,2018-19
D50-D64,Anaemias,65512.0,2018-19
D65-D89,Diseases of the blood and blood-forming organs,16113.0,2018-19
E00-E07,Disorders of thyroid gland,3623.0,2018-19
E10-E14,Diabetes Mellitus,49360.0,2018-19
E15-E90,Endocrine nutritional and metabolic diseases,91624.0,2018-19
F00-F03,Dementia,8958.0,2018-19
F04-F09,Other organic including symptomatic mental disorders,20408.0,2018-19
F10-F19,Mental and behavioural disorders due to psychoactive subst.,48447.0,2018-19
F20-F29,"Schizophrenia, schizotypal and delusional disorders",17906.0,2018-19
F30-F39,Mood [affective] disorders,18419.0,2018-19
F40-F69,"Neurotic, behavioural & personality disorders",28857.0,2018-19
F70-F79,Mental retardation,248.0,2018-19
F80-F99,Other mental and behavioural disorders,2311.0,2018-19
G00-G09,Inflammatory diseases of the central nervous system,4925.0,2018-19
"G10-G14, G30-G32",Other degenerative diseases (incl. Alzheimer).,6366.0,2018-19
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,6335.0,2018-19
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,3103.0,2018-19
G40-G47,"Epilepsy, migraine & other episodic disorders",86178.0,2018-19
"G50-G73,  G90-G99",Other diseases & disorders of the nervous syst.,23564.0,2018-19
G80-G83,Cerebral palsy & other paralytic syndromes,4216.0,2018-19
"H00-H06, H15-H22, H30-H36, H43-H59",Other disorders of the eye etc,28520.0,2018-19
H10-H13,Disorders of conjunctiva (including conjunctivitis),1749.0,2018-19
H25-H28,Disorders of lens (including cataracts),515.0,2018-19
H40-H42,Glaucoma,991.0,2018-19
H60-H95,Diseases of the ear and mastoid process,29714.0,2018-19
I00-I09,Rheumatic heart disease,1862.0,2018-19
I10-I15,Hypertensive diseases,20578.0,2018-19
I20-I25,Ischaemic heart diseases,140838.0,2018-19
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,29107.0,2018-19
I30-I52,Other forms of heart disease,198163.0,2018-19
I60-I69,Cerebrovascular diseases,93175.0,2018-19
I70-I79,"Diseases of arteries, arterioles & capillaries",21925.0,2018-19
I80-I89,Diseases of veins & lymphatic system nec.,41322.0,2018-19
I95-I99,Other & unspecified disorders of the circulatory system,26603.0,2018-19
J00-J06,Acute upper respiratory infections,133084.0,2018-19
J09-J18,Influenza & pneumonia,282503.0,2018-19
J20-J22,Other acute lower respiratory infections,174923.0,2018-19
J30-J39,Other diseases of upper respiratory tract,18857.0,2018-19
J40-J47,Chronic lower respiratory diseases,208989.0,2018-19
J60-J70,Lung diseases due to external agents,26172.0,2018-19
J80-J99,Other diseases of the respiratory system,48385.0,2018-19
K00-K14,"Diseases of oral cavity, salivary glands & jaws",20543.0,2018-19
K20-K31,"Diseases of oesophagus, stomach & duodenum",66909.0,2018-19
K35-K38,Diseases of appendix,45814.0,2018-19
K40-K46,Hernia,29198.0,2018-19
K50-K52,Noninfective enteritis & colitis,26495.0,2018-19
K55-K63,Other diseases of intestines,166354.0,2018-19
K65-K67,Diseases of peritoneum,5547.0,2018-19
K70-K77,Diseases of liver,24885.0,2018-19
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",112653.0,2018-19
K90-K93,Other diseases of the digestive system,65164.0,2018-19
L00-L14  L55-L99,Other infections and disorders of the skin,180007.0,2018-19
L20-L30,Dermatitis and eczema,8629.0,2018-19
L40-L45,Papulosquamous disorders (including Psoriasis),1225.0,2018-19
L50-L54,Urticaria and erythems,5655.0,2018-19
M00-M25,Arthropathies,77360.0,2018-19
M30-M36,Systemic connective tissue disorders,4359.0,2018-19
M40-M54,Dorsopathies,84580.0,2018-19
M60-M79,Soft tissue disorders,98401.0,2018-19
M80-M94,Osteopathies and chondropathies,21704.0,2018-19
M95-M99,Other disorders of the musculoskeletal system & conn. tiss.,5768.0,2018-19
"N00-N08, N10-N16",Diseases of the kidney,57992.0,2018-19
N17-N19,Renal failure,60142.0,2018-19
N20-N23,Urolithiasis,34255.0,2018-19
N25-N29,Other disorders of kidney & ureter,1827.0,2018-19
N30-N39,Other diseases of the urinary system,164675.0,2018-19
N60-N64,Disorders of breast,6334.0,2018-19
N99,Other disorders of the genitourinary system,1765.0,2018-19
P00-P04,Complications of fetus/neonate affected by maternal,2.0,2018-19
P05-P96,Other conditions originating in the perinatal period,50816.0,2018-19
Q00-Q89,Congenital malformations,10136.0,2018-19
Q90-Q99,Chromosomal abnormalities nec.,151.0,2018-19
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,379701.0,2018-19
R10-R19,Symptoms & signs inv. the digestive system & abdomen,304717.0,2018-19
R20-R23,Symptoms & signs inv. the skin & subcutaneous tissue,33222.0,2018-19
R25-R29,Symptoms & signs inv. the nervous & musculoskeletal sys.,92878.0,2018-19
R30-R39,Symptoms & signs involving the urinary system,50154.0,2018-19
R40-R46,Symptoms & signs inv. Cognition perception etc.,80608.0,2018-19
